name	type	model	replicate	fraction	phylo_aug_rate	species	pcc_train_Dev	pcc_train_Hk	pcc_val_Dev	pcc_val_Hk	pcc_test_Dev	pcc_test_Hk
DeepSTARR_rep1_frac1	homologs	DeepSTARR	1	1	1.0	1	0.7199905514717102	0.7808225154876709	0.6336213946342468	0.7176060080528259	0.6579234074135482	0.7453278765182662
DeepSTARR_rep1_frac1	homologs_finetune	DeepSTARR	1	1	1.0	1	0.7516043782234192	0.8018807172775269	0.6556721329689026	0.7285622358322144	0.667393533113044	0.7489336150450256
DeepSTARR_rep2_frac1	homologs	DeepSTARR	2	1	1.0	1	0.705672025680542	0.7718448638916016	0.6371980905532837	0.7270092964172363	0.6534611985504608	0.7377500247264157
DeepSTARR_rep2_frac1	homologs_finetune	DeepSTARR	2	1	1.0	1	0.7355135083198547	0.7919066548347473	0.6612986326217651	0.7344479560852051	0.6649199646229609	0.7480116086715245
DeepSTARR_rep3_frac1	homologs	DeepSTARR	3	1	1.0	1	0.6899982690811157	0.7602065801620483	0.6152974367141724	0.7198577523231506	0.652839670073546	0.7380610348998214
DeepSTARR_rep3_frac1	homologs_finetune	DeepSTARR	3	1	1.0	1	0.716744601726532	0.7782608866691589	0.6644254326820374	0.7400095462799072	0.6737260526159367	0.7543587377222607
DeepSTARR_rep1_frac1	homologs	DeepSTARR	1	1	1.0	5	0.6706306338310242	0.7518526315689087	0.6427202224731445	0.7233576774597168	0.6555323785470529	0.7444730766006856
DeepSTARR_rep1_frac1	homologs_finetune	DeepSTARR	1	1	1.0	5	0.7229422926902771	0.7823439836502075	0.661138653755188	0.7392751574516296	0.6669426993263821	0.7490346910719855
DeepSTARR_rep2_frac1	homologs	DeepSTARR	2	1	1.0	5	0.6632328629493713	0.7447684407234192	0.6411756873130798	0.7199512720108032	0.6575386043339281	0.7406108528934431
DeepSTARR_rep2_frac1	homologs_finetune	DeepSTARR	2	1	1.0	5	0.7131527662277222	0.7750079035758972	0.663007915019989	0.7336629629135132	0.6754109353965481	0.7515105151678007
DeepSTARR_rep3_frac1	homologs	DeepSTARR	3	1	1.0	5	0.6876047253608704	0.761788010597229	0.6375253200531006	0.7178276777267456	0.6535439671000551	0.7388538739984917
DeepSTARR_rep3_frac1	homologs_finetune	DeepSTARR	3	1	1.0	5	0.7398911118507385	0.7944771647453308	0.6551620960235596	0.7317220568656921	0.6641849286703153	0.7468499496584687
DeepSTARR_rep1_frac1	homologs	DeepSTARR	1	1	1.0	10	0.6552706360816956	0.7417739629745483	0.6298554539680481	0.7156206965446472	0.6493237928394696	0.744309672317256
DeepSTARR_rep1_frac1	homologs_finetune	DeepSTARR	1	1	1.0	10	0.7150229215621948	0.7786388993263245	0.657715380191803	0.7352089881896973	0.667751106897671	0.7523293911077655
DeepSTARR_rep2_frac1	homologs	DeepSTARR	2	1	1.0	10	0.6494274735450745	0.7395687103271484	0.6453664302825928	0.7218235731124878	0.6445753899543748	0.7446241959011018
DeepSTARR_rep2_frac1	homologs_finetune	DeepSTARR	2	1	1.0	10	0.7089235186576843	0.7736386060714722	0.6596730351448059	0.7319204211235046	0.6689504608716601	0.7509321816261374
DeepSTARR_rep3_frac1	homologs	DeepSTARR	3	1	1.0	10	0.6614865064620972	0.7454516291618347	0.6366878747940063	0.7233966588973999	0.6502772855693421	0.7347240463116858
DeepSTARR_rep3_frac1	homologs_finetune	DeepSTARR	3	1	1.0	10	0.7210336327552795	0.7830325961112976	0.6534808874130249	0.7309653162956238	0.663793410339741	0.7517326754939335
DeepSTARR_rep1_frac1	homologs	DeepSTARR	1	1	1.0	20	0.6616708636283875	0.7472531795501709	0.6259348392486572	0.7162880897521973	0.6550135183539543	0.7434327548038888
DeepSTARR_rep1_frac1	homologs_finetune	DeepSTARR	1	1	1.0	20	0.7337374687194824	0.790254533290863	0.6565008759498596	0.7390784621238708	0.6682713239710015	0.7514604162772427
DeepSTARR_rep2_frac1	homologs	DeepSTARR	2	1	1.0	20	0.6447466015815735	0.7347257137298584	0.6324095129966736	0.7155923247337341	0.6519597758192491	0.7458177091237023
DeepSTARR_rep2_frac1	homologs_finetune	DeepSTARR	2	1	1.0	20	0.7131052017211914	0.7765392661094666	0.6606572866439819	0.7310015559196472	0.6712476606357624	0.7522678700702018
DeepSTARR_rep3_frac1	homologs	DeepSTARR	3	1	1.0	20	0.644736647605896	0.735677182674408	0.6347968578338623	0.7216741442680359	0.65210032157461	0.7452145959952767
DeepSTARR_rep3_frac1	homologs_finetune	DeepSTARR	3	1	1.0	20	0.7165791392326355	0.7790163159370422	0.6653642058372498	0.7394644021987915	0.6669444295619338	0.7538184056425309
DeepSTARR_rep1_frac1	homologs	DeepSTARR	1	1	1.0	136	0.5279438495635986	0.6691652536392212	0.6629939675331116	0.7449499368667603	0.6631487735188805	0.7649406088331031
DeepSTARR_rep1_frac1	homologs_finetune	DeepSTARR	1	1	1.0	136	0.6730850338935852	0.7503674626350403	0.6726112365722656	0.7594506144523621	0.6818106305575056	0.7750830667153606
DeepSTARR_rep2_frac1	homologs	DeepSTARR	2	1	1.0	136	0.5145807266235352	0.6568663716316223	0.6494113802909851	0.7428889870643616	0.6493315950120504	0.7537117355013501
DeepSTARR_rep2_frac1	homologs_finetune	DeepSTARR	2	1	1.0	136	0.6587250828742981	0.7387250065803528	0.6597089171409607	0.7495744228363037	0.6728408246976378	0.7666725889506006
DeepSTARR_rep3_frac1	homologs	DeepSTARR	3	1	1.0	136	0.5440649390220642	0.6806724667549133	0.6725772023200989	0.7545328736305237	0.677268971057331	0.7736117775933705
DeepSTARR_rep3_frac1	homologs_finetune	DeepSTARR	3	1	1.0	136	0.6917509436607361	0.7629268169403076	0.6822599768638611	0.7634423971176147	0.6924709926004237	0.7804032885806781
